"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"TBA","AL","gipsoch0",350000,"SS",5,0,15,0,2,0,1,".",5,4,1,2,0,0,0,0,1,0,0,1,"0","0",1,"0",0
"OAK","AL","byrneer0",328000,"LF",143,98,2614,172,7,2,2,".",143,569,91,161,39,3,20,73,17,1,46,111,"0","12",0,"5",11
"BAL","AL","bigbila0",340000,"LF",139,102,2745,215,2,2,0,".",139,478,76,134,23,1,15,68,8,3,45,113,"0","1",3,"4",7
"NYN","NL","garcika0",800000,"RF",62,44,1159,91,0,3,0,".",62,192,24,45,7,2,7,22,3,0,10,35,"0","0",0,"0",6
"SDN","NL","lawrebr0",925000,"P",34,34,609,11,38,0,3,".",34,62,5,6,1,0,0,2,0,0,3,25,"0","0",8,"0",1
"DET","AL","bondeje0",330000,"P",3,32,552,14,15,3,1,".",3,7,0,0,0,0,0,0,0,0,0,4,"0","0",0,"0",0
"PIT","NL","vogelry0",311500,"P",32,26,399,8,14,0,1,".",32,31,2,7,2,0,0,3,0,0,2,13,"0","0",10,"1",1
"ARI","NL","hillesh0",2600000,"1B",148,129,3340,1127,72,13,105,".",148,562,68,174,36,3,15,80,2,0,24,49,"2","12",0,"6",18
"SFN","NL","snowjt01",1500000,"1B",107,88,2379,801,55,4,69,".",107,346,62,113,32,1,12,60,4,0,58,61,"0","7",2,"4",5
"COL","NL","wilsopr0",9000000,"CF",58,51,1308,119,3,6,1,".",58,202,24,50,11,0,6,29,2,1,17,49,"2","3",0,"0",9
"CHA","AL","alomasa0",700000,"C",50,46,1131,277,16,3,2,"3",50,146,15,35,4,0,2,14,0,0,11,13,"2","2",3,"2",4
"TOR","AL","batismi0",3600000,"P",2,31,596,18,30,1,5,".",2,5,0,0,0,0,0,0,0,0,0,3,"0","0",0,"0",0
"CLE","AL","lakerti0",450000,"C",43,31,896,233,21,4,0,"5",43,117,12,25,2,0,3,17,0,0,7,28,"1","1",2,"1",5
"FLO","NL","cordewi0",600000,"1B",27,11,291,105,4,1,10,".",27,66,6,13,3,0,1,6,1,0,3,19,"0","2",0,"1",2
"TOR","AL","adamste0",1700000,"P",5,0,129,6,3,1,1,".",5,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"ATL","NL","thomsjo0",2250000,"P",31,33,595,12,27,1,2,".",31,66,3,13,1,0,0,4,0,0,0,24,"0","0",10,"0",2
"MIL","NL","overbly0",326000,"1B",159,150,4081,1309,113,11,110,".",159,579,83,174,53,1,16,87,2,1,81,128,"9","2",0,"6",11
"CHN","NL","aloumo01",9500000,"LF",155,152,4015,240,7,8,2,".",155,601,106,176,36,3,39,106,3,0,68,80,"2","0",0,"6",12
"PHI","NL","thomeji0",12166667,"1B",143,134,3539,1090,84,7,103,".",143,508,97,139,28,1,42,105,0,2,104,144,"26","2",0,"4",10
"COL","NL","nunezvl0",700000,"P",22,0,77,1,3,1,0,".",22,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"SLN","NL","simonja0",350000,"P",14,0,46,3,3,0,1,".",14,2,1,1,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"PHI","NL","myersbr0",362500,"P",29,31,528,15,23,0,1,".",29,51,6,10,4,0,0,1,0,0,2,17,"0","0",8,"0",2
"MIN","AL","santajo0",1600000,"P",2,34,684,9,24,4,2,".",2,8,0,3,0,0,0,2,0,0,0,1,"0","0",0,"0",0
"OAK","AL","muldema0",4450000,"P",2,33,677,6,51,3,3,".",2,4,2,0,0,0,0,0,0,0,1,3,"0","1",0,"0",0
"TEX","AL","ramirer0",303750,"P",1,0,107,2,3,0,0,".",1,0,0,0,0,0,0,0,0,0,0,0,"0",".",0,"0",0
"TEX","AL","soriaal0",5400000,"2B",145,142,3744,308,418,23,104,".",145,608,77,170,32,4,28,91,18,5,33,121,"4","10",0,"7",7
"CLE","AL","riskeda0",1025000,"P",4,0,232,7,4,0,1,".",4,0,0,0,0,0,0,0,0,0,0,0,"0",".",0,"0",0
"ANA","AL","haltesh0",575000,"3B",46,22,640,26,46,10,2,".",46,114,10,23,5,0,4,13,1,1,7,30,"0","0",0,"0",3
"TOR","AL","delgaca0",19700000,"1B",128,120,3116,1041,88,5,98,".",128,458,74,123,26,0,32,99,0,1,69,115,"12","13",0,"11",11
"OAK","AL","mecirji0",3300000,"P",4,0,143,1,3,0,0,".",4,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0",0
"CHN","NL","goodwto0",650000,"LF",77,3,134,12,0,0,0,".",77,105,11,21,8,0,0,3,5,0,8,22,"0","0",0,"1",1
"TBA","AL","gaudich0",302500,"P",3,4,128,1,5,1,0,".",3,1,0,0,0,0,0,0,0,0,0,0,"0","0",1,"0",0
"ARI","NL","sexsori0",8725000,"1B",23,23,613,199,27,1,19,".",23,90,20,21,4,0,9,23,0,0,14,21,"0","0",0,"0",2
"MON","NL","riverju0",312000,"RF",134,74,2165,151,13,3,3,".",134,391,48,120,24,1,12,49,6,2,34,45,"7","1",0,"0",11
"ATL","NL","drewjd01",4200000,"RF",145,137,3579,277,12,3,0,".",145,518,118,158,28,8,31,93,12,3,118,116,"2","5",1,"3",7
"PIT","NL","nunezab0",625000,"2B",112,22,591,60,70,2,24,".",112,182,17,43,9,0,2,13,1,3,10,36,"0","0",2,"1",8
"NYA","AL","cairomi0",900000,"2B",122,96,2568,195,275,6,59,".",122,360,48,105,17,5,6,42,11,3,18,49,"1","14",12,"4",7
"SLN","NL","lunahe01",300000,"SS",83,14,433,33,57,5,12,".",83,173,25,43,7,2,3,22,6,3,13,37,"0","2",1,"3",2
"FLO","NL","pennybr0",3725000,"P",20,21,394,14,15,1,1,".",20,47,1,3,0,0,0,1,0,0,0,13,"0","0",1,"0",1
