class,score,trip
34,57,0
34,69,0
34,61,0
34,62,0
34,42,0
34,45,0
34,50,1
34,46,0
34,37,0
34,55,0
34,70,0
34,70,0
34,69,0
34,58,0
34,43,0
34,59,0
34,59,0
34,67,0
34,74,0
34,69,0
34,52,0
34,53,0
65,59,0
65,73,1
65,13,0
65,51,0
65,76,1
65,59,0
65,81,0
65,57,0
65,64,0
65,25,0
65,79,0
65,66,1
65,28,0
65,63,0
65,65,1
65,72,0
60,84,1
60,91,1
60,56,0
60,66,0
60,75,0
60,62,0
60,67,1
60,67,0
60,83,1
60,71,0
60,82,1
60,89,1
60,60,0
60,52,0
60,81,1
60,59,0
60,66,0
60,56,0
60,86,0
60,70,0
60,48,0
60,51,0
60,79,1
60,77,0
60,76,0
60,68,0
69,45,0
69,44,0
69,84,1
69,53,1
69,46,0
69,57,1
69,48,0
69,52,0
69,72,1
69,74,1
69,51,1
69,55,0
69,77,1
69,68,1
69,55,1
69,66,0
69,81,1
69,75,0
69,78,1
69,74,1
69,64,0
69,48,0
68,76,0
68,63,0
68,80,0
68,72,1
68,68,1
68,59,0
68,96,0
68,100,0
68,87,0
68,70,1
68,76,0
68,62,0
68,75,0
68,79,1
68,58,0
68,53,0
20,71,1
20,90,1
20,75,1
20,75,1
20,78,1
20,75,1
20,50,0
20,74,1
20,30,0
20,62,0
20,71,1
20,66,1
20,80,0
20,75,1
20,64,1
20,47,1
20,86,1
20,59,0
20,75,1
20,36,0
20,67,1
47,45,0
47,32,0
47,87,0
47,48,0
47,46,0
47,51,0
47,59,0
47,60,0
47,66,0
47,40,0
47,52,1
47,83,0
47,38,0
47,38,0
47,44,0
47,84,0
47,9,0
47,66,0
23,41,0
23,70,0
23,76,0
23,52,0
23,37,0
23,68,0
23,74,0
23,89,1
23,81,1
23,57,0
23,72,0
23,94,1
23,65,0
23,68,0
4,100,0
4,68,0
4,73,0
4,48,0
4,96,1
4,75,0
4,90,0
4,58,0
4,70,0
4,58,0
4,58,0
4,85,0
4,76,0
4,55,0
4,95,0
4,88,0
4,41,0
4,89,0
4,78,0
4,85,1
39,83,1
39,93,1
39,100,1
39,94,1
39,91,1
39,100,1
39,86,1
39,68,0
39,100,1
39,61,0
39,73,0
39,95,1
39,79,1
39,77,0
39,100,1
39,67,0
39,69,0
39,69,0
39,87,0
39,75,1
39,80,1
